45.69344,126.64674,#1
45.69952,126.64748,#2
45.70548,126.64460,#3
45.70790,126.63837,#4
45.73480,126.71609,#5
45.74255,126.71888,#6
45.74591,126.70055,#7
45.74580,126.69929,#8
45.74466,126.69030,#9
45.74714,126.67863,#10
45.75013,126.67668,#11
45.75487,126.64643,#12
45.75506,126.63591,#13
45.77966,126.63740,#14
45.78133,126.63398,#15
45.76631,126.61447,#16
45.77395,126.61325,#17
45.77866,126.61052,#18
45.77974,126.61324,#19
45.78410,126.59212,#20
45.78793,126.58985,#21
45.79134,126.59111,#22
45.78894,126.58546,#23
45.78411,126.58448,#24
45.78383,126.58541,#25
45.78009,126.57705,#26
45.76797,126.56740,#27
45.74949,126.55914,#28
45.74862,126.55092,#29
45.74769,126.54605,#30
45.73681,126.55735,#31
45.73138,126.56006,#32
45.72241,126.54968,#33

